codedel1;deleg1;nature;ref_tn_cod1;code_etablissement;lat1;lon1;tablissement;Name
8122;Kairouan Sud;Lycée;TN412;812101;35.6539519;10,0846852;812101;Lycée Okba Ibn nafaa
8122;Kairouan Sud;Lycée;TN412;812102;35.674892;10,1035545;812102;Lycée Ibn Rachik 
8122;Kairouan Sud;Lycée;TN412;812103;35.6697;10,10594;812103;Lycée Chedli Atala Kairouan
8122;Kairouan Sud;Collège;TN412;812104;35.6745548;10,1050551;812104;Collège 02 Mars 1934 Kairouan
8122;Kairouan Sud;Lycée;TN412;812105;35.61186;10,0673;812105;Lycée Rakkada Kairouan
8122;Kairouan Sud;Collège;TN412;812107;35.6103277;10,0666375;812107;Collège Rakkada Kairouan
8121;Kairaouan Nord;Lycée;TN412;812108;35.6943323;10,0874538;812108; Lycée ıPilote Kairouan
8121;Kairaouan Nord;Collège;TN412;812109;35.697923;10,101591;812109;Collège El manarKairouan
8121;Kairaouan Nord;Collège;TN412;812112;35.673538;10,0948047;812112;CollègeEl hossari Kairouan
8122;Kairouan Sud;Lycée;TN412;812113;35.6550744;10,0834004;812113;LycéeIbn Jazzar Kairouan
8121;Kairaouan Nord;Lycée;TN412;812114;35.690396;10,0820389;812114;Lycée Dar el Amen Kairouan
8122;Kairouan Sud;Collège;TN412;812115;35.6532396;10,0830999;812115;Collège  El Mansoura Kairouan
8121;Kairaouan Nord;Collège;TN412;812116;35.690882694586875 ;10,08402596;812116;Collège Dar el Amen Kairouan
8121;Kairaouan Nord;Lycée;TN412;812117;35.6799782;10,0728529;812117;Lycée  Aghalaba Kairouan
8121;Kairaouan Nord;Collège;TN412;812118;35.6754761;10,104603;812118;Collège Ibn charaf Kairouan
8121;Kairaouan Nord;Collège;TN412;812119;35.712064;9,993921;812119;Collège Batten Kairouan
8121;Kairaouan Nord;Collège;TN412;812120;35.685538;10,078306;812120;Collège sahabi Abou zamaa Balaoui Kairouan
8121;Kairaouan Nord;Lycée;TN412;812121;35.7128393;9,9963243;812121;Lycée El Batten Kairouan
8121;Kairaouan Nord;Lycée;TN412;812122;35.6763774;10,1071734;812122;Lycée Sportif  Kairouan
8122;Kairouan Sud;Collège;TN412;812201;35.6659059;10,0731819;812201;Collège Ibn hani Kairouan
8122;Kairouan Sud;Collège;TN412;812202;35.66367;10,11041;812202;Collège Assad Ibn Fourate Kairouan
8122;Kairouan Sud;Lycée;TN412;812203;35.66491;10,07558;812203;Lycée Kairouan
8122;Kairouan Sud;Collège;TN412;812204;35.65785;10,08184;812204;Collège Beit Elhikma Kairouan
8122;Kairouan Sud;Collège;TN412;812205;35.6553011;10,0796908;812205;Collège Pilote Kairouan
8122;Kairouan Sud;Collège;TN412;812206;35.4898006;9,9588087;812206;Collège Khadhra
8123;Echbika;Collège;TN416;812301;35.61851031656047;9,922166393;812301;Collège Echbika
8123;Echbika;Lycée;TN416;812302;35.61712;9,92528;812302;Lycée Nahj Ibn Arafa Echbika
8123;Echbika;Collège;TN416;812303;35.58618937049409;9,907434591;812303;CollègeSidi Ali Ben Salem
8126;Sebikha;Collège;TN41A;812603;35.934979;10,0265879;812603;Collège Monji Selim Sebikha
8126;Sebikha;Collège;TN41A;812604;35.9284214;10,0255257;812604;Collège Ibn Roched Sebikha
8126;Sebikha;Collège;TN41A;812605;35.9301991;10,0252835;812605;Collège Sebikha
8126;Sebikha;Lycée;TN41A;812606;35.91453;10,12588;812606;Lycée Sebikha
8126;Sebikha;Collège;TN41A;812607;36.02463;10,18474;812607;Collège Dar Eljamaya Sebikha
8126;Sebikha;Lycée;TN41A;812608;35.9427211;10,0202272;812608;Lycée Mahmoud Messaadi Sebikha
8131;El  Oueslatia;Collège;TN412;813105;35.8481337;9,5921938;813105;Collège Abou Kacem Chebbi El  Oueslatia
8131;El  Oueslatia;Lycée;TN412;813106;35.8518892;9,5947126;813106;Lycée Ibn Kholdoun El  Oueslatia
8131;El  Oueslatia;Lycée;TN412;813107;35.8461907;9,5994075;813107;Lycée El  Oueslatia
8131;El  Oueslatia;Collège;TN412;813108;35.848993;9,59075;813108;Collège El  Oueslatia
8132;Ain jloula;Collège;TN412;813109;35.80667;9,819166666;813109;Collège Ain jloula
8131;El  Oueslatia;Mixte;TN412;813110;36.0313048;9,6897237;813110;Collège Kssar Lamsa
8132;Ain jloula;Lycée;TN412;813201;35.80205;9,80308;813201;Lycée Ain jloula ı
8134;El Ala;Lycée;TN413;813401;35.6153509;9,564334;813401;Lycée El Ala
8134;El Ala;Mixte;TN413;813402;35.680463;9,533388;813402;Collège Msaad El Ala
8134;El Ala;Collège;TN413;813403;35.6181285;9,5634063;813403;Collège El Ala
8134;El Ala;Collège;TN413;813404;35.6607053;9,4123322;813404;Collège Dhhibate El Ala
8134;El Ala;Collège;TN413;813405;35.6123333;9,5602845;813405;Collège El Ala Habib
8134;El Ala;Lycée;TN413;813406;35.6142789;9,5711736;813406;Lycée El Ala 2
8136;Haffouz;Collège;TN414;813607;35.6372357;9,6731598;813607;Collège  Hay zayatine Haffouz
8136;Haffouz;Lycée;TN414;813608;35.633;9,678;813608;Lycée Haffouz
8136;Haffouz;Collège;TN414;813609;35.6415421;9,6698803;813609;Collège Haffouz
8136;Haffouz;Collège;TN414;813611;35.4970096;9,7002244;813611;Collège  Zamla Haffouz
8136;Haffouz;Lycée;TN414;813612;35.62577;9,6764;813612;Lycée Farhat hachad Haffouz
8141;Hajeb El Ayoun;Lycée;TN415;814108;35.3967084;9,5481448;814108;Lycée  Abou Kacem Chabi Hajeb El Ayoun
8141;Hajeb El Ayoun;Lycée;TN415;814109;35.44368;9,62633;814109;Lycée Ali zouaoui Hajeb El Ayounı
8141;Hajeb El Ayoun;Collège;TN415;814110;35.388635;9,551166;814110;Collège  Ibn abi dhiyef Hajeb El Ayounıı
8141;Hajeb El Ayoun;Collège;TN415;814111;35.3891417;9,5442926;814111;Collège Hajeb El Ayoun
8141;Hajeb El Ayoun;Mixte;TN415;814112;35.566;9,4728;814112;Collège Elsarja Hajeb El Ayoun
8146;Nasrallah;Lycée;TN415;814607;35.361459;9,8402845;814607;Lycée Ibn sina Nasrallah
8146;Nasrallah;Collège;TN415;814608;35.3626063;9,8389146;814608;Collège Nasrallah
8146;Nasrallah;Lycée;TN415;814610;35.3569954;9,8262114;814610;Lycée Nasrallah
8146;Nasrallah;Collège;TN415;814611;35.18419318445972;9,819201071;814611;Collège Kabara Nasrallah
8147;Manzel mhiri;Collège;TN415;814620;35.42488178370376;9,854831165;814620;Collège Manzel mhiri
8147;Manzel mhiri;Lycée;TN415;814621;35.4210541;9,8562485;814621;Lycée Manzel mhiri
