year;niveau;deleg;codedel;1ann;2ann;3ann;4ann;5ann;6ann;student;class;prep;enf;groupe;densite;ref_tn_cod
2025/2024;Niveau Primaire;Kairaouan Nord;8121;1437;1608;1697;1818;1699;1601;9860;366;4;133;6;26,94;TN411
2025/2024;Niveau Primaire;Kairouan Sud;8122;1471;1612;1727;1874;1637;1459;9780;385;18;487;23;25,4;TN412
2025/2024;Niveau Primaire;Echbika;8123;719;713;822;862;779;735;4630;215;14;311;15;21,53;TN413
2025/2024;Niveau Primaire;Sebikha;8126;1656;1682;1842;1775;1600;1400;9955;397;25;715;32;25,08;TN414
2025/2024;Niveau Primaire;El  Oueslatia;8131;491;517;598;603;624;460;3293;187;11;252;13;17,61;TN415
2025/2024;Niveau Primaire;ain jloula;8132;99;106;99;118;140;105;667;38;3;101;4;17,55;TN415
2025/2024;Niveau Primaire;El Alâa;8134;653;668;670;681;697;598;3967;193;14;422;18;20,55;TN417
2025/2024;Niveau Primaire;Haffouz;8136;790;861;952;967;883;861;5314;241;18;422;22;22,05;TN416
2025/2024;Niveau Primaire;Hajeb El Ayoun;8141;829;875;1003;919;880;742;5248;226;18;482;22;23,22;TN418
2025/2024;Niveau Primaire;Nasrallah;8146;386;396;475;431;449;387;2524;139;13;297;14;18,16;TN419
2025/2024;Niveau Primaire;manzel mhiri;8147;264;276;326;340;312;265;1783;89;8;223;10;20,03;TN419
2025/2024;Niveau Primaire;Bouhajla;8151;1532;1631;1861;1749;1693;1441;9907;415;24;621;29;23,87;TN41B
2025/2024;Niveau Primaire;Echrarda;8156;662;692;745;715;698;621;4133;204;9;199;10;20,26;TN41A
2023/2024;Niveau Primaire;Kairaouan Nord;8121;1547;1651;1876;1803;1710;1540;10127;369;4;121;6;27,44;TN411
2023/2024;Niveau Primaire;Kairouan Sud;8122;1594;1737;1854;1797;1629;1425;10036;397;16;478;24;25,28;TN412
2023/2024;Niveau Primaire;Echbika;8123;712;803;925;815;787;658;4700;216;15;323;18;21,76;TN413
2023/2024;Niveau Primaire;Sebikha;8126;1655;1826;1862;1716;1569;1326;9954;391;25;631;32;25,46;TN414
2023/2024;Niveau Primaire;El  Oueslatia;8131;502;588;630;609;541;496;3366;194;11;207;13;17,35;TN415
2023/2024;Niveau Primaire;ain jloula;8132;103;106;126;127;118;115;695;39;2;58;3;17,82;TN415
2023/2024;Niveau Primaire;El Alâa;8134;660;681;753;687;692;559;4032;197;12;349;16;20,47;TN417
2023/2024;Niveau Primaire;Haffouz;8136;856;920;1006;883;943;811;5419;244;20;473;25;22,21;TN416
2023/2024;Niveau Primaire;Hajeb El Ayoun;8141;829;966;991;944;814;731;5275;227;17;457;22;23,24;TN418
2023/2024;Niveau Primaire;Nasrallah;8146;391;461;453;436;423;379;2543;138;12;249;14;18,43;TN419
2023/2024;Niveau Primaire;manzel mhiri;8147;283;327;333;317;276;242;1778;90;8;181;10;19,76;TN419
2023/2024;Niveau Primaire;Bouhajla;8151;1601;1798;1835;1706;1646;1410;9996;419;23;559;28;23,86;TN41B
2023/2024;Niveau Primaire;Echrarda;8156;668;740;777;742;653;574;4154;202;5;139;6;20,56;TN41A
2022/2023;Niveau Primaire;Kairaouan Nord;8121;1633;1811;1894;1763;1762;1449;10312;378;4;126;6;27,28;TN411
2022/2023;Niveau Primaire;Kairouan Sud;8122;1733;1868;1829;1809;1694;1500;10433;399;15;447;22;26,15;TN412
2022/2023;Niveau Primaire;Echbika;8123;844;851;896;800;729;657;4777;219;14;324;19;21,81;TN413
2022/2023;Niveau Primaire;Sebikha;8126;1754;1835;1848;1730;1450;1219;9836;393;23;600;31;25,03;TN414
2022/2023;Niveau Primaire;El  Oueslatia;8131;547;627;641;573;547;531;3466;203;11;204;13;17,07;TN415
2022/2023;Niveau Primaire;ain jloula;8132;108;126;149;124;126;99;732;38;2;54;3;19,26;TN415
2022/2023;Niveau Primaire;El Alâa;8134;653;722;781;703;632;574;4065;204;12;347;16;19,93;TN417
2022/2023;Niveau Primaire;Haffouz;8136;919;952;986;952;910;739;5458;244;20;469;25;22,37;TN416
2022/2023;Niveau Primaire;Hajeb El Ayoun;8141;957;963;981;853;830;758;5342;227;16;404;21;23,53;TN418
2022/2023;Niveau Primaire;Nasrallah;8146;467;454;442;445;418;325;2551;145;11;249;12;17,59;TN419
2022/2023;Niveau Primaire;manzel mhiri;8147;308;355;308;314;257;235;1777;91;8;193;10;19,53;TN419
2022/2023;Niveau Primaire;Bouhajla;8151;1757;1771;1826;1751;1617;1361;10083;418;21;546;26;24,12;TN41B
2022/2023;Niveau Primaire;Echrarda;8156;726;789;765;733;621;553;4187;206;5;133;6;20,33;TN41A
